,city_name,naics_2022_2,salary,wfh_wham,soc_2021_2,employment_type_name
1,"San Diego, CA",72,57500,0,11-0000,Full-time (> 32 hours)
2,"San Diego, CA",72,31200,0,35-0000,Full-time (> 32 hours)
3,"San Diego, CA",72,33280,0,35-0000,Part-time / full-time
4,"San Diego, CA",72,40560,0,35-0000,Full-time (> 32 hours)
5,"San Diego, CA",72,45760,0,11-0000,Full-time (> 32 hours)
6,"San Diego, CA",72,33280,0,35-0000,Full-time (> 32 hours)
7,"San Diego, CA",72,46800,0,13-0000,Full-time (> 32 hours)
8,"San Diego, CA",72,41797.5,0,43-0000,Part-time (≤ 32 hours)
9,"San Diego, CA",72,63700,0,11-0000,Full-time (> 32 hours)
10,"San Diego, CA",72,34320,0,41-0000,Part-time / full-time
11,"San Diego, CA",72,38480,0,35-0000,Part-time / full-time
12,"San Diego, CA",72,65000,0,35-0000,Part-time / full-time
13,"San Diego, CA",72,85000,1,11-0000,Full-time (> 32 hours)
14,"San Diego, CA",72,39520,0,35-0000,Full-time (> 32 hours)
15,"San Diego, CA",72,62400,0,35-0000,Part-time / full-time
16,"San Diego, CA",72,37440,0,41-0000,Part-time / full-time
17,"San Diego, CA",72,29120,0,35-0000,Part-time (≤ 32 hours)
18,"San Diego, CA",72,41600,0,43-0000,Full-time (> 32 hours)
19,"San Diego, CA",72,65000,0,35-0000,Part-time (≤ 32 hours)
20,"San Diego, CA",72,45760,0,99-0000,Full-time (> 32 hours)
21,"San Diego, CA",72,35360,0,49-0000,Full-time (> 32 hours)
22,"San Diego, CA",72,39000,0,41-0000,Part-time (≤ 32 hours)
23,"San Diego, CA",72,35360,0,35-0000,Part-time / full-time
24,"San Diego, CA",72,39520,0,43-0000,Full-time (> 32 hours)
25,"San Diego, CA",72,34320,0,37-0000,Full-time (> 32 hours)
26,"San Diego, CA",72,62500,0,11-0000,Full-time (> 32 hours)
27,"San Diego, CA",72,33280,0,35-0000,Full-time (> 32 hours)
28,"San Diego, CA",72,33280,0,37-0000,Part-time / full-time
29,"San Diego, CA",72,33280,0,35-0000,Part-time / full-time
30,"San Diego, CA",72,31200,0,35-0000,Part-time / full-time
31,"San Diego, CA",72,31200,0,35-0000,Part-time / full-time
32,"San Diego, CA",72,34320,0,35-0000,Part-time / full-time
33,"San Diego, CA",72,35360,0,49-0000,Full-time (> 32 hours)
34,"San Diego, CA",72,41600,0,11-0000,Full-time (> 32 hours)
35,"San Diego, CA",72,35360,0,37-0000,Full-time (> 32 hours)
36,"San Diego, CA",72,79000,0,43-0000,Full-time (> 32 hours)
37,"San Diego, CA",72,35360,0,41-0000,Part-time (≤ 32 hours)
38,"San Diego, CA",72,30160,0,35-0000,Full-time (> 32 hours)
39,"San Diego, CA",72,35880,0,51-0000,Part-time / full-time
40,"San Diego, CA",72,32000,0,53-0000,Part-time (≤ 32 hours)
41,"San Diego, CA",72,36400,0,11-0000,Part-time (≤ 32 hours)
42,"San Diego, CA",72,33280,0,35-0000,Part-time / full-time
43,"San Diego, CA",72,67500,0,41-0000,Full-time (> 32 hours)
44,"San Diego, CA",72,49920,0,43-0000,Full-time (> 32 hours)
45,"San Diego, CA",72,54080,0,43-0000,Full-time (> 32 hours)
46,"San Diego, CA",72,33280,0,11-0000,Part-time / full-time
47,"San Diego, CA",72,29640,0,39-0000,Part-time / full-time
48,"San Diego, CA",72,31200,0,41-0000,Part-time (≤ 32 hours)
49,"San Diego, CA",72,35360,0,41-0000,Part-time / full-time
50,"San Diego, CA",72,31200,0,35-0000,Part-time (≤ 32 hours)
51,"San Diego, CA",72,35360,0,43-0000,Full-time (> 32 hours)
52,"San Diego, CA",72,38480,0,35-0000,Part-time (≤ 32 hours)
53,"San Diego, CA",72,34320,0,37-0000,Part-time (≤ 32 hours)
54,"San Diego, CA",72,90000,0,17-0000,Full-time (> 32 hours)
55,"San Diego, CA",72,37440,0,35-0000,Part-time / full-time
56,"San Diego, CA",72,36400,0,11-0000,Full-time (> 32 hours)
57,"San Diego, CA",72,33800,0,11-0000,Full-time (> 32 hours)
58,"San Diego, CA",72,34320,0,35-0000,Part-time / full-time
59,"San Diego, CA",72,32240,0,43-0000,Part-time (≤ 32 hours)
60,"San Diego, CA",72,32240,0,51-0000,Part-time / full-time
61,"San Diego, CA",72,32240,0,43-0000,Part-time (≤ 32 hours)
62,"San Diego, CA",72,31720,0,99-0000,Part-time / full-time
63,"San Diego, CA",72,34320,0,35-0000,Part-time / full-time
64,"San Diego, CA",72,35360,0,43-0000,Full-time (> 32 hours)
65,"San Diego, CA",72,31200,0,43-0000,Part-time / full-time
66,"San Diego, CA",72,43680,0,43-0000,Full-time (> 32 hours)
67,"San Diego, CA",72,43680,0,35-0000,Full-time (> 32 hours)
68,"San Diego, CA",72,40477,0,37-0000,Full-time (> 32 hours)
69,"San Diego, CA",72,33280,0,43-0000,Part-time (≤ 32 hours)
70,"San Diego, CA",72,105000,0,23-0000,Full-time (> 32 hours)
71,"San Diego, CA",72,35360,0,41-0000,Part-time (≤ 32 hours)
